Winner,Loser,Date
C9,TSM,1/17
XDG,EG,1/17
CRS,CST,1/17
C9,XDG,1/17
TSM,EG,1/17
CLG,DIG,1/17
CRS,XDG,1/18
C9,CLG,1/18
TSM,DIG,1/18
EG,CLG,1/18
DIG,CST,1/18
CLG,CRS,1/19
DIG,C9,1/19
CST,EG,1/19
TSM,CRS,1/19
CST,XDG,1/19
DIG,XDG,1/25
CRS,CST,1/25
DIG,EG,1/25
TSM,CLG,1/25
EG,XDG,1/26
TSM,CST,1/26
C9,CRS,1/26
DIG,CLG,1/26
TSM,XDG,2/1
C9,CST,2/1
CLG,CRS,2/1
C9,EG,2/1
XDG,CLG,2/2
EG,CRS,2/2
CLG,CST,2/2
TSM,C9,2/2
C9,XDG,2/8
DIG,CST,2/8
TSM,EG,2/8
CRS,DIG,2/8
CLG,EG,2/9
TSM,CRS,2/9
C9,CST,2/9
XDG,DIG,2/9
CLG,C9,2/15
EG,CRS,2/15
CST,XDG,2/15
TSM,DIG,2/15
CRS,XDG,2/16
C9,DIG,2/16
CST,EG,2/16
TSM,CLG,2/16
EG,DIG,2/22
CST,TSM,2/22
C9,CRS,2/22
CLG,XDG,2/22
C9,EG,2/23
TSM,CRS,2/23
CLG,CST,2/23
DIG,XDG,2/23
XDG,C9,3/1
CLG,CRS,3/1
TSM,DIG,3/1
CST,EG,3/1
C9,TSM,3/2
DIG,EG,3/2
CLG,XDG,3/2
CST,CRS,3/2
C9,EG,3/7
TSM,CST,3/7
CLG,DIG,3/7
CRS,XDG,3/7
DIG,CST,3/7
TSM,CLG,3/8
EG,XDG,3/8
C9,CRS,3/8
TSM,EG,3/8
XDG,CST,3/8
C9,DIG,3/8
TSM,XDG,3/9
CLG,CST,3/9
CRS,DIG,3/9
C9,CLG,3/9
CRS,EG,3/9
TSM,XDG,3/22
CRS,DIG,3/22
C9,CST,3/22
CLG,EG,3/22
TSM,DIG,3/23
CLG,CST,3/23
XDG,CRS,3/23
C9,EG,3/23
DIG,EG,3/29
CLG,TSM,3/29
CST,XDG,3/29
C9,CRS,3/29
CLG,XDG,3/30
TSM,CRS,3/30
C9,DIG,3/30
CST,EG,3/30
C9,XDG,4/4
CRS,CST,4/4
C9,CLG,4/4
DIG,CRS,4/4
TSM,EG,4/4
DIG,XDG,4/5
TSM,CST,4/5
CRS,CLG,4/5
CST,DIG,4/5
CLG,EG,4/5
C9,TSM,4/5
CLG,DIG,4/6
EG,CRS,4/6
XDG,TSM,4/6
C9,CST,4/6
EG,XDG,4/6
