Winner,Loser,Date
Cleveland Cavaliers,Washington Wizards,Tue Oct 30 2012
Dallas Mavericks,Los Angeles Lakers,Tue Oct 30 2012
Miami Heat,Boston Celtics,Tue Oct 30 2012
Chicago Bulls,Sacramento Kings,Wed Oct 31 2012
Houston Rockets,Detroit Pistons,Wed Oct 31 2012
Los Angeles Clippers,Memphis Grizzlies,Wed Oct 31 2012
San Antonio Spurs,New Orleans Hornets,Wed Oct 31 2012
Philadelphia 76ers,Denver Nuggets,Wed Oct 31 2012
Golden State Warriors,Phoenix Suns,Wed Oct 31 2012
Portland Trail Blazers,Los Angeles Lakers,Wed Oct 31 2012
Indiana Pacers,Toronto Raptors,Wed Oct 31 2012
Utah Jazz,Dallas Mavericks,Wed Oct 31 2012
San Antonio Spurs,Oklahoma City Thunder,Thu Nov 1 2012
Houston Rockets,Atlanta Hawks,Fri Nov 2 2012
Milwaukee Bucks,Boston Celtics,Fri Nov 2 2012
Charlotte Bobcats,Indiana Pacers,Fri Nov 2 2012
Chicago Bulls,Cleveland Cavaliers,Fri Nov 2 2012
Memphis Grizzlies,Golden State Warriors,Fri Nov 2 2012
Los Angeles Clippers,Los Angeles Lakers,Fri Nov 2 2012
Minnesota Timberwolves,Sacramento Kings,Fri Nov 2 2012
New Orleans Hornets,Utah Jazz,Fri Nov 2 2012
New York Knicks,Miami Heat,Fri Nov 2 2012
Oklahoma City Thunder,Portland Trail Blazers,Fri Nov 2 2012
Orlando Magic,Denver Nuggets,Fri Nov 2 2012
Phoenix Suns,Detroit Pistons,Fri Nov 2 2012
Brooklyn Nets,Toronto Raptors,Sat Nov 3 2012
New Orleans Hornets,Chicago Bulls,Sat Nov 3 2012
Dallas Mavericks,Charlotte Bobcats,Sat Nov 3 2012
Portland Trail Blazers,Houston Rockets,Sat Nov 3 2012
Indiana Pacers,Sacramento Kings,Sat Nov 3 2012
Golden State Warriors,Los Angeles Clippers,Sat Nov 3 2012
Miami Heat,Denver Nuggets,Sat Nov 3 2012
Milwaukee Bucks,Cleveland Cavaliers,Sat Nov 3 2012
San Antonio Spurs,Utah Jazz,Sat Nov 3 2012
Boston Celtics,Washington Wizards,Sat Nov 3 2012
Los Angeles Lakers,Detroit Pistons,Sun Nov 4 2012
New York Knicks,Philadelphia 76ers,Sun Nov 4 2012
Atlanta Hawks,Oklahoma City Thunder,Sun Nov 4 2012
Orlando Magic,Phoenix Suns,Sun Nov 4 2012
Toronto Raptors,Minnesota Timberwolves,Sun Nov 4 2012
Minnesota Timberwolves,Brooklyn Nets,Mon Nov 5 2012
Dallas Mavericks,Portland Trail Blazers,Mon Nov 5 2012
Cleveland Cavaliers,Los Angeles Clippers,Mon Nov 5 2012
Memphis Grizzlies,Utah Jazz,Mon Nov 5 2012
Miami Heat,Phoenix Suns,Mon Nov 5 2012
New York Knicks,Philadelphia 76ers,Mon Nov 5 2012
Sacramento Kings,Golden State Warriors,Mon Nov 5 2012
San Antonio Spurs,Indiana Pacers,Mon Nov 5 2012
Chicago Bulls,Orlando Magic,Tue Nov 6 2012
Denver Nuggets,Detroit Pistons,Tue Nov 6 2012
Oklahoma City Thunder,Toronto Raptors,Tue Nov 6 2012
Atlanta Hawks,Indiana Pacers,Wed Nov 7 2012
Boston Celtics,Washington Wizards,Wed Nov 7 2012
Phoenix Suns,Charlotte Bobcats,Wed Nov 7 2012
Dallas Mavericks,Toronto Raptors,Wed Nov 7 2012
Golden State Warriors,Cleveland Cavaliers,Wed Nov 7 2012
Denver Nuggets,Houston Rockets,Wed Nov 7 2012
Los Angeles Clippers,San Antonio Spurs,Wed Nov 7 2012
Miami Heat,Brooklyn Nets,Wed Nov 7 2012
Memphis Grizzlies,Milwaukee Bucks,Wed Nov 7 2012
Minnesota Timberwolves,Orlando Magic,Wed Nov 7 2012
Philadelphia 76ers,New Orleans Hornets,Wed Nov 7 2012
Sacramento Kings,Detroit Pistons,Wed Nov 7 2012
Utah Jazz,Los Angeles Lakers,Wed Nov 7 2012
Oklahoma City Thunder,Chicago Bulls,Thu Nov 8 2012
Los Angeles Clippers,Portland Trail Blazers,Thu Nov 8 2012
Miami Heat,Atlanta Hawks,Fri Nov 9 2012
Philadelphia 76ers,Boston Celtics,Fri Nov 9 2012
Denver Nuggets,Utah Jazz,Fri Nov 9 2012
Los Angeles Lakers,Golden State Warriors,Fri Nov 9 2012
Memphis Grizzlies,Houston Rockets,Fri Nov 9 2012
Minnesota Timberwolves,Indiana Pacers,Fri Nov 9 2012
New Orleans Hornets,Charlotte Bobcats,Fri Nov 9 2012
New York Knicks,Dallas Mavericks,Fri Nov 9 2012
Oklahoma City Thunder,Detroit Pistons,Fri Nov 9 2012
Brooklyn Nets,Orlando Magic,Fri Nov 9 2012
Phoenix Suns,Cleveland Cavaliers,Fri Nov 9 2012
San Antonio Spurs,Sacramento Kings,Fri Nov 9 2012
Milwaukee Bucks,Washington Wizards,Fri Nov 9 2012
Charlotte Bobcats,Dallas Mavericks,Sat Nov 10 2012
Chicago Bulls,Minnesota Timberwolves,Sat Nov 10 2012
Denver Nuggets,Golden State Warriors,Sat Nov 10 2012
Houston Rockets,Detroit Pistons,Sat Nov 10 2012
Indiana Pacers,Washington Wizards,Sat Nov 10 2012
Boston Celtics,Milwaukee Bucks,Sat Nov 10 2012
San Antonio Spurs,Portland Trail Blazers,Sat Nov 10 2012
Philadelphia 76ers,Toronto Raptors,Sat Nov 10 2012
Utah Jazz,Phoenix Suns,Sat Nov 10 2012
