Winner,Loser,Date
TSM,LGN,11/19/2011
TSM,LGN,11/19/2011
TSM,DIG,11/19/2011
TSM,DIG,11/19/2011
DIG,LGN,11/19/2011
DIG,LGN,11/19/2011
CLG,TSM,2/11/2012
CLG,TSM,2/11/2012
TSM,CLG,2/11/2012
DIG,CLG,2/11/2012
DIG,CLG,2/11/2012
CLG,DIG,2/11/2012
DIG,CRS,2/11/2012
DIG,CRS,2/11/2012
DIG,LGN,2/11/2012
DIG,LGN,2/11/2012
LGN,DIG,4/29/2012
LGN,DIG,4/29/2012
DIG,LGN,4/29/2012
TSM,LGN,4/29/2012
TSM,LGN,4/29/2012
EVO,CRS,4/29/2012
EVO,CRS,4/29/2012
EVO,CLG,4/29/2012
EVO,CLG,4/29/2012
CLG,TD,4/29/2012
CLG,TD,4/29/2012
TSM,EVO,4/29/2012
TSM,EVO,4/29/2012
EVO,TSM,4/29/2012
CLG,CRS,6/9/2012
CLG,CRS,6/9/2012
DIG,CLG,6/9/2012
DIG,CLG,6/9/2012
CLG,DIG,6/9/2012
CRS,LGN,6/9/2012
CRS,LGN,6/9/2012
DIG,TD,6/9/2012
DIG,TD,6/9/2012
TD,DIG,6/9/2012
TD,CRS,6/9/2012
TD,CRS,6/9/2012
CRS,TD,6/9/2012
TD,MME,6/9/2012
TD,MME,6/9/2012
TSM,DIG,6/9/2012
TSM,DIG,6/9/2012
CLG,DIG,6/9/2012
CLG,DIG,6/9/2012
CLG,TD,6/9/2012
CLG,TD,6/9/2012
TSM,CLG,6/9/2012
TSM,CLG,6/9/2012
TSM,CLG,6/9/2012
CLG,TSM,6/9/2012
CLG,TSM,6/9/2012
CLG,TSM,6/9/2012
CLG,CRS,6/15/2012
CLG,CRS,6/15/2012
CRS,CLG,6/15/2012
TSM,MME,6/15/2012
TSM,MME,6/15/2012
TSM,CLG,6/15/2012
TSM,CLG,6/15/2012
CLG,TSM,6/15/2012
CLG,TD,6/15/2012
CLG,TD,6/15/2012
TD,CLG,6/15/2012
TSM,LGN,8/11/2012
TSM,LGN,8/11/2012
TSM,CRS,8/11/2012
TSM,CRS,8/11/2012
TSM,CRS,8/11/2012
CRS,LGN,8/11/2012
CRS,LGN,8/11/2012
LGN,CRS,8/11/2012
LGN,MME,8/11/2012
LGN,MME,8/11/2012
MME,LGN,8/11/2012
MME,TD,8/11/2012
MME,TD,8/11/2012
TD,MME,8/11/2012
CRS,MME,8/11/2012
CRS,MME,8/11/2012
DIG,TD,8/25/2012
DIG,TD,8/25/2012
TD,DIG,8/25/2012
TD,LGN,8/25/2012
TD,LGN,8/25/2012
LGN,TD,8/25/2012
DIG,TD,8/25/2012
DIG,TD,8/25/2012
TD,DIG,8/25/2012
TD,DIG,8/25/2012
MME,EVO,8/25/2012
MME,EVO,8/25/2012
CRS,MME,8/25/2012
CRS,MME,8/25/2012
CRS,DIG,8/25/2012
CRS,DIG,8/25/2012
CRS,DIG,8/25/2012
DIG,CRS,8/25/2012
DIG,CRS,8/25/2012
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
